timestamp,src_ip,src_port,dst_ip,dst_port,protocol,size,syn,ack,fin,rst,psh
1778820918,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820918,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820919,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820919,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820920,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820920,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820921,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820921,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820922,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820922,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820923,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820923,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820924,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820924,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820925,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820925,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820926,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820926,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820927,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820927,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820928,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820928,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820929,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820929,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820930,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820930,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820931,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820931,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820932,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820932,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820933,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820933,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820934,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820934,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820935,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820935,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820936,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820936,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820937,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820937,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820938,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820938,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820939,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820939,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820939,127.0.0.1,38008,127.0.0.53,53,17,75,0,0,0,0,0
1778820939,127.0.0.53,53,127.0.0.1,38008,17,107,0,0,0,0,0
1778820940,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820940,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820941,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
1778820941,127.0.0.1,0,127.0.0.1,0,1,98,0,0,0,0,0
